Match ID,Hero,Kills,Deaths,Assists,KDA,Duration,Result
6827883934,Mirana,14,15,23,2.466666666666667,60.166666666666664,Loss
6826843931,Necrophos,3,16,20,1.4375,44.166666666666664,Loss
6826665303,Lycan,4,1,24,28.0,28.833333333333332,Win
6826432478,Nature's Prophet,14,5,19,6.6,37.9,Win
6825971992,Necrophos,16,16,25,2.5625,59.65,Loss
6824305291,Mirana,10,9,8,2.0,39.6,Loss
6824142495,Mirana,2,3,1,1.0,7.683333333333334,Loss
6824065959,Nature's Prophet,8,3,12,6.666666666666667,31.433333333333334,Win
6823396762,Vengeful Spirit,6,9,15,2.3333333333333335,46.81666666666667,Win
6823142006,Vengeful Spirit,6,13,12,1.3846153846153846,36.36666666666667,Loss
6822564301,Lycan,16,0,13,29.0,28.166666666666668,Win
6821808042,Dragon Knight,6,5,22,5.6,36.983333333333334,Win
6821409501,Drow Ranger,6,6,25,5.166666666666667,36.05,Win
6821305050,Viper,2,13,5,0.5384615384615384,32.833333333333336,Loss
6820248670,Nature's Prophet,10,7,10,2.857142857142857,44.416666666666664,Win
6805954538,Mirana,12,5,14,5.2,56.35,Win
6805923212,Nature's Prophet,6,5,19,5.0,41.0,Win
6804476883,Mirana,15,3,12,9.0,35.28333333333333,Win
6804451187,Dragon Knight,3,6,5,1.3333333333333333,33.61666666666667,Loss
6804409548,Vengeful Spirit,6,14,11,1.2142857142857142,46.483333333333334,Loss
6803747513,Nature's Prophet,9,11,8,1.5454545454545454,49.516666666666666,Loss
6803664462,Viper,4,10,3,0.7,35.766666666666666,Loss
6802736462,Dragon Knight,9,11,34,3.909090909090909,61.6,Win
6782358983,Weaver,14,3,12,8.666666666666666,43.016666666666666,Loss
6779660086,Nature's Prophet,13,5,22,7.0,47.81666666666667,Win
6776074052,Viper,8,7,10,2.5714285714285716,41.166666666666664,Loss
6771457603,Nature's Prophet,11,10,12,2.3,43.333333333333336,Loss
6771180073,Necrophos,8,10,18,2.6,43.06666666666667,Win
6769804565,Dragon Knight,10,4,23,8.25,32.38333333333333,Win
6769758019,Venomancer,4,11,6,0.9090909090909091,33.4,Loss
6769686908,Nature's Prophet,2,5,3,1.0,22.466666666666665,Loss
6768125270,Vengeful Spirit,2,7,21,3.2857142857142856,42.833333333333336,Win
5933139981,Venomancer,5,15,15,1.3333333333333333,42.25,Loss
5933095909,Underlord,6,9,24,3.3333333333333335,47.333333333333336,Loss
5932898219,Abaddon,4,6,16,3.3333333333333335,30.166666666666668,Win
5931419865,Vengeful Spirit,7,17,26,1.9411764705882353,50.43333333333333,Loss
5931372408,Viper,5,9,9,1.5555555555555556,41.483333333333334,Loss
5929739030,Vengeful Spirit,12,10,23,3.5,43.583333333333336,Win
5929708618,Dark Seer,0,9,11,1.2222222222222223,33.36666666666667,Loss
5925793335,Nature's Prophet,4,12,17,1.75,38.5,Win
5925733207,Slardar,4,9,9,1.4444444444444444,38.983333333333334,Loss
5925487344,Vengeful Spirit,1,12,9,0.8333333333333334,30.433333333333334,Loss
5925391825,Venomancer,7,14,24,2.2142857142857144,46.31666666666667,Loss
5925089942,Underlord,6,8,19,3.125,42.8,Win
5923972953,Nature's Prophet,9,12,18,2.25,33.86666666666667,Win
5920149877,Viper,7,5,15,4.4,29.966666666666665,Win
5916635891,Nature's Prophet,9,15,14,1.5333333333333334,42.5,Loss
5910479877,Slardar,4,1,13,17.0,24.116666666666667,Win
5908714824,Nature's Prophet,9,9,20,3.2222222222222223,42.86666666666667,Win
5908670028,Underlord,8,11,27,3.1818181818181817,53.7,Win
5908538101,Venomancer,2,13,10,0.9230769230769231,36.65,Loss
5908463951,Vengeful Spirit,5,7,21,3.7142857142857144,49.45,Win
5908336161,Abaddon,6,2,13,9.5,36.95,Win
5906441472,Vengeful Spirit,8,12,10,1.5,38.38333333333333,Win
5906363937,Nature's Prophet,12,10,15,2.7,46.333333333333336,Loss
5906203538,Bounty Hunter,2,11,4,0.5454545454545454,35.46666666666667,Loss
5906157724,Venomancer,7,6,10,2.8333333333333335,26.166666666666668,Win
5902679821,Underlord,7,8,19,3.25,43.95,Loss
5896532489,Vengeful Spirit,4,9,22,2.888888888888889,34.43333333333333,Win
5892979657,Nature's Prophet,9,5,18,5.4,36.333333333333336,Win
5892874127,Venomancer,7,5,26,6.6,43.85,Win
5891341059,Nature's Prophet,4,5,17,4.2,26.083333333333332,Win
5889509798,Bounty Hunter,1,8,7,1.0,30.95,Loss
5881401994,Nature's Prophet,1,10,4,0.5,28.616666666666667,Loss
5881298295,Nature's Prophet,7,2,8,7.5,22.783333333333335,Win
5881245672,Venomancer,8,8,25,4.125,36.78333333333333,Win
5877576651,Venomancer,1,13,20,1.6153846153846154,53.31666666666667,Loss
5877488960,Nature's Prophet,14,7,18,4.571428571428571,29.916666666666668,Win
5877445811,Bounty Hunter,4,4,6,2.5,27.8,Loss
5875638834,Venomancer,4,6,26,5.0,37.0,Win
5875589402,Necrophos,6,2,21,13.5,29.866666666666667,Win
5869239111,Venomancer,7,14,16,1.6428571428571428,42.61666666666667,Loss
5869183923,Slardar,0,7,8,1.1428571428571428,37.833333333333336,Loss
5867574082,Venomancer,6,7,20,3.7142857142857144,29.116666666666667,Win
5867492298,Vengeful Spirit,11,9,23,3.7777777777777777,49.5,Win
5867437935,Venomancer,4,11,13,1.5454545454545454,35.15,Loss
5866063862,Vengeful Spirit,2,2,13,7.5,27.166666666666668,Win
5866037009,Sand King,2,6,4,1.0,24.933333333333334,Loss
5865969926,Nature's Prophet,3,10,19,2.2,38.11666666666667,Win
5865916429,Venomancer,10,9,20,3.3333333333333335,42.43333333333333,Loss
5864521131,Venomancer,7,8,28,4.375,33.766666666666666,Win
5864472631,Nature's Prophet,3,9,5,0.8888888888888888,36.766666666666666,Loss
5855960388,Nature's Prophet,7,4,17,6.0,33.266666666666666,Win
5855908984,Venomancer,3,13,21,1.8461538461538463,42.0,Loss
5854386580,Nature's Prophet,16,10,19,3.5,53.266666666666666,Loss
5852659613,Vengeful Spirit,11,15,28,2.6,46.766666666666666,Loss
5852603182,Venomancer,6,3,22,9.333333333333334,24.716666666666665,Win
5851124540,Vengeful Spirit,3,11,14,1.5454545454545454,34.483333333333334,Win
5851028140,Nature's Prophet,18,6,16,5.666666666666667,33.7,Win
5850967592,Axe,4,12,10,1.1666666666666667,32.5,Loss
5850902942,Snapfire,3,8,16,2.375,38.31666666666667,Loss
5845417762,Slardar,7,11,14,1.9090909090909092,42.9,Loss
5845368924,Nature's Prophet,10,6,17,4.5,32.55,Win
5845291444,Venomancer,7,7,23,4.285714285714286,32.5,Win
5843585960,Nature's Prophet,10,5,16,5.2,31.066666666666666,Win
5843539200,Sand King,5,9,3,0.8888888888888888,29.183333333333334,Loss
5843441791,Nature's Prophet,6,10,23,2.9,36.666666666666664,Win
5841722336,Vengeful Spirit,12,6,20,5.333333333333333,32.833333333333336,Win
5841677932,Venomancer,10,5,23,6.6,31.7,Win
5841600202,Tidehunter,1,10,13,1.4,42.6,Loss
5839796521,Bristleback,6,11,33,3.5454545454545454,51.45,Win
5839737910,Nature's Prophet,16,11,14,2.727272727272727,43.45,Loss
5837868523,Vengeful Spirit,11,14,30,2.9285714285714284,52.11666666666667,Loss
5837815970,Venomancer,3,11,13,1.4545454545454546,46.2,Loss
5837722751,Vengeful Spirit,9,10,21,3.0,40.9,Win
5837678627,Bloodseeker,6,7,5,1.5714285714285714,28.45,Loss
5837602965,Vengeful Spirit,4,8,15,2.375,42.06666666666667,Win
5831748744,Vengeful Spirit,3,11,12,1.3636363636363635,35.4,Loss
5831690202,Axe,9,10,14,2.3,40.8,Loss
5829769619,Vengeful Spirit,15,9,15,3.3333333333333335,41.38333333333333,Win
5829714423,Vengeful Spirit,14,9,16,3.3333333333333335,33.13333333333333,Win
5828086122,Bloodseeker,5,8,12,2.125,36.266666666666666,Loss
5828050469,Vengeful Spirit,12,10,26,3.8,37.96666666666667,Win
5827811111,Axe,6,1,11,17.0,26.5,Win
5825926763,Venomancer,6,5,18,4.8,30.583333333333332,Win
5824459357,Bloodseeker,5,11,18,2.090909090909091,64.5,Win
5824411121,Axe,9,5,8,3.4,31.333333333333332,Win
5819625596,Vengeful Spirit,13,11,22,3.1818181818181817,50.75,Win
5819591469,Snapfire,4,7,4,1.1428571428571428,37.61666666666667,Loss
5819413230,Vengeful Spirit,5,10,18,2.3,39.35,Win
5819368048,Vengeful Spirit,4,4,17,5.25,31.466666666666665,Win
5818179935,Vengeful Spirit,4,6,25,4.833333333333333,30.583333333333332,Win
5818030724,Sand King,5,13,19,1.8461538461538463,44.916666666666664,Loss
5817961202,Slardar,8,10,22,3.0,58.28333333333333,Win
5816678097,Axe,8,3,17,8.333333333333334,37.53333333333333,Win
5816610395,Snapfire,3,15,35,2.533333333333333,59.96666666666667,Loss
5815492277,Luna,10,6,13,3.8333333333333335,43.43333333333333,Loss
5815461017,Viper,1,9,6,0.7777777777777778,37.016666666666666,Loss
5815431278,Venomancer,5,8,23,3.5,29.45,Win
5815300545,Tidehunter,3,8,16,2.375,61.38333333333333,Loss
5815258350,Axe,3,11,3,0.5454545454545454,31.05,Loss
5814091384,Sand King,12,5,20,6.4,34.36666666666667,Win
5814053672,Viper,9,7,21,4.285714285714286,40.81666666666667,Win
5813957469,Venomancer,8,9,26,3.7777777777777777,54.05,Loss
5813877128,Chaos Knight,12,2,16,14.0,34.85,Win
5808738107,Venomancer,5,11,14,1.7272727272727273,43.3,Loss
5807440767,Venomancer,4,13,26,2.3076923076923075,45.71666666666667,Win
5807402861,Slardar,3,7,10,1.8571428571428572,39.21666666666667,Loss
5807304078,Underlord,3,7,26,4.142857142857143,56.416666666666664,Loss
5807258656,Axe,2,4,9,2.75,34.233333333333334,Loss
5805846732,Bloodseeker,6,9,13,2.111111111111111,35.15,Loss
5805804042,Luna,1,4,7,2.0,32.3,Loss
5803039463,Juggernaut,2,5,7,1.8,28.366666666666667,Loss
5803013248,Vengeful Spirit,5,6,10,2.5,31.283333333333335,Win
5802935559,Troll Warlord,4,11,13,1.5454545454545454,44.93333333333333,Win
5802878398,Necrophos,7,10,16,2.3,51.05,Loss
5802823889,Venomancer,4,14,15,1.3571428571428572,41.86666666666667,Loss
5798005770,Slardar,6,13,13,1.4615384615384615,46.983333333333334,Loss
5796683701,Sand King,3,8,10,1.625,41.18333333333333,Loss
5796634623,Night Stalker,6,10,16,2.2,39.53333333333333,Loss
5795628773,Venomancer,7,5,19,5.2,39.88333333333333,Win
5795498593,Necrophos,12,14,27,2.7857142857142856,67.23333333333333,Loss
5795349424,Slardar,9,2,15,12.0,41.416666666666664,Win
5794117751,Necrophos,14,8,18,4.0,38.56666666666667,Win
5794042867,Nature's Prophet,2,5,11,2.6,40.7,Loss
5788185272,Night Stalker,7,9,14,2.3333333333333335,39.5,Win
5787966443,Abaddon,4,5,14,3.6,48.7,Loss
5786710351,Bloodseeker,6,7,10,2.2857142857142856,52.4,Win
5786561360,Luna,7,9,16,2.5555555555555554,36.68333333333333,Win
5785182505,Bounty Hunter,4,10,8,1.2,36.38333333333333,Loss
5785160484,Vengeful Spirit,4,1,5,9.0,10.8,Win
5782737470,Venomancer,4,12,12,1.3333333333333333,43.71666666666667,Loss
5782560534,Vengeful Spirit,6,9,21,3.0,43.86666666666667,Win
5782508766,Snapfire,6,4,8,3.5,38.233333333333334,Win
5776530420,Necrophos,14,4,25,9.75,38.333333333333336,Win
5776446198,Bloodseeker,3,16,21,1.5,69.05,Win
5751104007,Bounty Hunter,6,9,2,0.8888888888888888,32.983333333333334,Loss
5751076199,Puck,0,9,9,1.0,25.883333333333333,Loss
5751008105,Sand King,1,6,8,1.5,25.833333333333332,Win
5750950769,Nature's Prophet,9,8,5,1.75,34.25,Loss
5746268756,Necrophos,8,3,16,8.0,31.5,Win
5746225034,Viper,8,8,10,2.25,32.416666666666664,Win
5745269322,Venomancer,7,11,20,2.4545454545454546,44.35,Loss
5745249745,Chaos Knight,4,3,8,4.0,31.066666666666666,Win
5745055016,Abaddon,2,9,13,1.6666666666666667,47.766666666666666,Loss
5743970033,Necrophos,6,3,23,9.666666666666666,33.55,Win
5743788680,Venomancer,10,6,40,8.333333333333334,47.25,Win
5743745387,Necrophos,8,3,22,10.0,30.783333333333335,Win
5742747116,Weaver,7,6,9,2.6666666666666665,34.766666666666666,Loss
5742531545,Venomancer,3,7,36,5.571428571428571,66.43333333333334,Loss
5742512882,Abaddon,1,4,0,0.25,15.6,Loss
5741503449,Bloodseeker,6,14,13,1.3571428571428572,43.833333333333336,Loss
5741389363,Slardar,2,7,14,2.2857142857142856,37.38333333333333,Win
5739739621,Venomancer,6,11,16,2.0,53.13333333333333,Loss
5738586949,Venomancer,6,8,21,3.375,30.633333333333333,Win
5738436306,Weaver,3,0,4,7.0,13.85,Win
5738389451,Venomancer,6,9,25,3.4444444444444446,39.86666666666667,Win
5737341379,Weaver,6,5,21,5.4,39.28333333333333,Win
5737298409,Chaos Knight,2,8,6,1.0,39.6,Loss
5737128390,Necrophos,11,13,25,2.769230769230769,61.3,Win
5736160277,Bloodseeker,3,2,19,11.0,30.333333333333332,Win
5735945503,Slardar,17,3,15,10.666666666666666,40.86666666666667,Win
5735899978,Venomancer,7,3,18,8.333333333333334,36.8,Win
5733362947,Night Stalker,2,7,3,0.7142857142857143,22.7,Loss
5733316146,Bloodseeker,5,5,17,4.4,34.083333333333336,Win
5727844235,Nature's Prophet,8,7,14,3.142857142857143,40.516666666666666,Loss
5726600531,Venomancer,5,12,23,2.3333333333333335,50.43333333333333,Win
5726423339,Slardar,6,9,12,2.0,44.416666666666664,Loss
5726364990,Bloodseeker,12,9,13,2.7777777777777777,48.61666666666667,Loss
5725303818,Night Stalker,10,7,11,3.0,39.3,Win
5725134443,Bloodseeker,5,10,15,2.0,40.95,Loss
